case_id,reported_at,missing_person_name,gender,age_band,state,district,language,last_seen_location,reporting_center,reporter_mobile,physical_description,status,resolution_hours,is_duplicate_report,remarks
KMP-2027-00953,2027-09-11 05:14,Parvati Gaikwad,Female,71-80,Maharashtra,Aurangabad,Marathi,Mukti Dham,Kushavarta Center,+91 9082730645,"blue checked shirt, has a tilak on forehead",Pending,,False,Volunteer escorting to help desk.
KMP-2027-00505,2027-09-02 04:31,Indira Deshmukh,Female,61-70,Maharashtra,Ahmednagar,Marathi,Mukti Dham,Tapovan Center,+91 7384557124,,Reunited,0.4,False,"Came by group bus, lost the group."
KMP-2027-00434,2027-08-12 08:44,Mangala Kumar,Female,80+,Uttar Pradesh,Kanpur,Hindi,Nashik Road Railway Station,Tapovan Center,+91 7033040467,"orange saree, short grey hair",Reunited,6.2,False,
KMP-2027-00463,2027-07-19 00:09,Mahesh Kumar,Male,18-40,Maharashtra,Nagpur,Marathi,Tapovan,Kushavarta Center,+91 7080963361,"maroon saree, walks with a cane",Reunited,6.5,False,Announced on PA system.
KMP-2027-02312,2027-09-11 05:55,,Male,61-70,Maharashtra,Aurangabad,Marathi,Mukti Dham,CBS Help Center,+91 8856483464,"orange saree, carries a cloth bag",Reunited,5.4,False,Got separated in snan crowd.
KMP-2027-00532,2027-09-02 10:15,Sarla Pawar,Female,41-60,Maharashtra,Aurangabad,Marathi,Tapovan,Trimbak Gate Center,+91 9813650630,"white dhoti and kurta, walks with a cane",Reunited,2.3,False,Possible match flagged for review.
KMP-2027-01651,2027-08-14 22:15,Sushila Das,Female,80+,Maharashtra,Nagpur,Marathi,Goda Ghat,Nashik Road Center,,,Reunited,2.9,False,Cross-checked at adjacent center.
KMP-2027-02106,2027-08-04 11:41,,Female,61-70,Maharashtra,Thane,Marathi,Saptashrungi Base,Panchavati Center,,,Pending,,False,Volunteer escorting to help desk.
KMP-2027-02210,2027-08-19 17:16,,Female,61-70,Uttar Pradesh,Kanpur,Hindi,Dudhsagar Falls Road,Sadhugram Center,+91 9080340877,"yellow blouse, tulsi mala around neck",Reunited,9.3,False,Announced on PA system.
KMP-2027-00022,2027-08-09 02:10,,Male,61-70,Maharashtra,Solapur,Marathi,Panchavati,Kushavarta Center,,,Pending,,True,Logged at second center; same person suspected.
KMP-2027-01960,2027-08-17 06:43,,Female,41-60,Madhya Pradesh,Bhopal,Hindi,Nashik Road Railway Station,Tapovan Center,+91 9055479334,"white dhoti and kurta, speaks little Hindi",Reunited,8.8,False,"Came by group bus, lost the group."
KMP-2027-01562,2027-08-12 07:56,Suresh Jadhav,Male,18-40,Uttar Pradesh,Varanasi,Hindi,Goda Ghat,Sadhugram Center,+91 8851587858,"white dhoti and kurta, walks with a cane",Reunited,2.1,False,
KMP-2027-00339,2027-09-02 07:11,Meena Shinde,Unknown,41-60,Maharashtra,Jalgaon,Marathi,Sita Gufa,Trimbak Gate Center,+91 9487603310,"green saree, wears thick glasses",Reunited,8.6,False,Possible match flagged for review.
KMP-2027-02109,2027-08-21 23:45,Kishan Deshmukh,Male,71-80,Rajasthan,Jaipur,Hindi,Sadhugram,Sadhugram Center,+91 9098826505,,Reunited,3.5,False,Phone switched off.
KMP-2027-01576,2027-09-12 19:23,,Female,61-70,Maharashtra,Aurangabad,Marathi,Saptashrungi Base,Panchavati Center,+91 9072065818,"blue checked shirt, carries a cloth bag",Reunited,8.4,False,Got separated in snan crowd.
KMP-2027-00805,2027-08-04 10:23,Lakshmi Kumar,Female,71-80,Tamil Nadu,Chennai,Tamil,Goda Ghat,CBS Help Center,+91 7356912450,"orange saree, hard of hearing",Reunited,1,False,Possible match flagged for review.
KMP-2027-00003,2027-09-14 16:24,Prakash Bhosale,Male,71-80,Maharashtra,Jalgaon,Marathi,Mukti Dham,Ramkund LF Center,+91 9845013205,,Reunited,,True,Possible match flagged for review.
KMP-2027-01222,2027-08-19 05:16,,Male,61-70,Uttar Pradesh,Prayagraj,Hindi,Goda Ghat,Trimbak Gate Center,+91 9984880509,"cream kurta, limps on right leg",Reunited,2.6,False,Announced on PA system.
KMP-2027-00110,2027-07-15 10:42,Kishan Gaikwad,Male,41-60,Gujarat,Rajkot,Gujarati,Gangapur Road Ghat,Kushavarta Center,,"yellow blouse, short grey hair",Pending,,True,Logged at second center; same person suspected.
KMP-2027-00340,2027-08-26 15:04,,Female,18-40,Maharashtra,Thane,Marathi,Ramkund,Kushavarta Center,+91 8831960885,"white dhoti and kurta, silver anklets",Reunited,2.6,False,Announced on PA system.
KMP-2027-01229,2027-09-02 11:25,Suresh Joshi,Male,61-70,Tamil Nadu,Madurai,Tamil,Goda Ghat,Tapovan Center,+91 9451644673,"white dhoti and kurta, hard of hearing",Reunited,5,False,"Family frantic, last dip together."
KMP-2027-02282,2027-07-21 07:29,Anjali Verma,Female,41-60,Tamil Nadu,Madurai,Tamil,Nashik Road Railway Station,Ramkund LF Center,+91 7072112472,"orange saree, short grey hair",Reunited,9.3,False,
KMP-2027-01865,2027-08-18 16:05,,Female,41-60,Maharashtra,Aurangabad,Marathi,Sita Gufa,Nashik Road Center,+91 9468078599,"cream kurta, tulsi mala around neck",Reunited,8.3,False,"Came by group bus, lost the group."
KMP-2027-01606,2027-08-13 05:19,Rohan Verma,Male,41-60,Maharashtra,Pune,Marathi,Tapovan,Panchavati Center,+91 7334805101,,Pending,,False,Possible match flagged for review.
KMP-2027-01602,2027-08-28 05:43,Kishan Shinde,Male,71-80,Maharashtra,Pune,Marathi,CBS Bus Stand,Ramkund LF Center,+91 9024994476,"yellow blouse, speaks little Hindi",Reunited,8,False,Got separated in snan crowd.
KMP-2027-01922,2027-08-08 08:59,Mohan Reddy,Male,0-12,Maharashtra,Ahmednagar,Marathi,Saptashrungi Base,Sadhugram Center,+91 9472820564,"blue checked shirt, silver anklets",Reunited,2.2,False,Possible match flagged for review.
KMP-2027-01776,2027-08-19 09:09,Anjali Jadhav,Female,0-12,Maharashtra,Nashik,Marathi,Dudhsagar Falls Road,Kushavarta Center,+91 9450417745,"cream kurta, walks with a cane",Reunited,6.6,False,
KMP-2027-01920,2027-07-17 13:43,Ganpat Joshi,Male,80+,Gujarat,Surat,Gujarati,Tapovan,CBS Help Center,+91 9989187227,"black shawl, limps on right leg",Reunited,4.5,False,Phone switched off.
KMP-2027-02364,2027-09-10 06:38,Sunil Reddy,Male,61-70,Maharashtra,Pune,Marathi,Ramkund,Panchavati Center,+91 8829559239,"maroon saree, walks with a cane",Reunited,8,False,Volunteer escorting to help desk.
KMP-2027-00226,2027-08-19 09:04,Prakash Verma,Male,80+,Maharashtra,Ahmednagar,Marathi,Nashik Road Railway Station,Nashik Road Center,+91 7061348151,,Reunited,9,False,Cross-checked at adjacent center.
KMP-2027-00873,2027-09-10 09:53,Dattatray Joshi,Male,71-80,Madhya Pradesh,Gwalior,Hindi,Saptashrungi Base,CBS Help Center,+91 8819346565,"red sari with gold border, short grey hair",Reunited,8.5,False,
KMP-2027-00602,2027-09-02 08:50,Kavita Kulkarni,Female,13-17,Maharashtra,Pune,Marathi,Mukti Dham,Trimbak Gate Center,+91 8871626308,,Reunited,3.2,False,Cross-checked at adjacent center.
KMP-2027-01758,2027-07-27 06:37,,Female,61-70,Maharashtra,Nashik,Marathi,Sadhugram,Panchavati Center,+91 9413656246,"maroon saree, short grey hair",Reunited,4.1,False,"Family frantic, last dip together."
KMP-2027-02040,2027-08-04 15:37,Anil Bhosale,Male,41-60,Tamil Nadu,Madurai,Tamil,Goda Ghat,Tapovan Center,+91 7088308053,"grey sweater, speaks little Hindi",Reunited,7.5,False,Volunteer escorting to help desk.
KMP-2027-01722,2027-08-04 10:14,,Female,41-60,Tamil Nadu,Chennai,Tamil,Ahilyadevi Holkar Bridge,Nashik Road Center,,"cream kurta, silver anklets",Reunited,2.7,False,Possible match flagged for review.
KMP-2027-01040,2027-08-04 16:50,Meena Gaikwad,Female,71-80,Madhya Pradesh,Bhopal,Hindi,CBS Bus Stand,Panchavati Center,+91 9919565693,"cream kurta, has a tilak on forehead",Reunited,7.6,False,Volunteer escorting to help desk.
KMP-2027-01211,2027-08-28 20:31,Parvati Chavan,Female,61-70,Maharashtra,Ahmednagar,Marathi,Nashik Road Railway Station,Panchavati Center,+91 8819677389,"cream kurta, wears thick glasses",Reunited,2.4,False,Got separated in snan crowd.
KMP-2027-00736,2027-09-06 17:37,Mohan Reddy,Male,80+,Gujarat,Rajkot,Gujarati,CBS Bus Stand,CBS Help Center,,"green saree, has a tilak on forehead",Reunited,2.9,False,Announced on PA system.
KMP-2027-01595,2027-07-20 22:45,,Female,61-70,Telangana,Warangal,Telugu,Kalaram Temple,Nashik Road Center,+91 9948522024,"blue checked shirt, walks with a cane",Reunited,5.5,False,
KMP-2027-00838,2027-08-27 09:39,Vitthal Kulkarni,Male,0-12,Madhya Pradesh,Ujjain,Hindi,Sita Gufa,Trimbak Gate Center,+91 9489819872,"red sari with gold border, silver anklets",Reunited,7.1,False,Volunteer escorting to help desk.
KMP-2027-02173,2027-09-07 03:59,,Female,80+,Maharashtra,Nashik,Marathi,Dudhsagar Falls Road,CBS Help Center,+91 7057612550,,Reunited,2.8,False,Announced on PA system.
KMP-2027-02420,2027-09-11 16:14,,Female,80+,Madhya Pradesh,Bhopal,Hindi,Saptashrungi Base,Trimbak Gate Center,,"green saree, limps on right leg",Reunited,7.7,False,Announced on PA system.
KMP-2027-02268,2027-08-15 23:24,Asha Iyer,Female,61-70,Maharashtra,Jalgaon,Marathi,Panchavati,Nashik Road Center,+91 9890762306,"white dhoti and kurta, carries a cloth bag",Reunited,6.7,False,Phone switched off.
KMP-2027-00530,2027-09-11 04:00,Gita Verma,Female,41-60,Maharashtra,Jalgaon,Marathi,Kalaram Temple,Trimbak Gate Center,+91 8843656184,"red sari with gold border, short grey hair",Pending,,False,Possible match flagged for review.
KMP-2027-01408,2027-08-19 11:38,Radha More,Female,41-60,Maharashtra,Jalgaon,Marathi,Sadhugram,Ramkund LF Center,+91 7052429526,"green saree, limps on right leg",Unresolved,,False,Got separated in snan crowd.
KMP-2027-02455,2027-07-25 05:18,Bhaskar Sharma,Male,61-70,Maharashtra,Pune,Marathi,Trimbakeshwar Temple,Sadhugram Center,+91 9810594375,"green saree, silver anklets",Reunited,1.9,False,Possible match flagged for review.
KMP-2027-00309,2027-09-11 13:20,Sunita Yadav,Female,18-40,Maharashtra,Aurangabad,Marathi,Goda Ghat,Trimbak Gate Center,+91 7029140426,,Reunited,3.9,False,
KMP-2027-01382,2027-08-19 06:19,,Female,0-12,Maharashtra,Thane,Marathi,Nashik Road Railway Station,CBS Help Center,+91 7023634161,,Reunited,3.4,False,Cross-checked at adjacent center.
KMP-2027-01621,2027-09-11 05:23,,Male,41-60,Maharashtra,Solapur,Marathi,Sita Gufa,Ramkund LF Center,+91 9861106805,"maroon saree, carries a cloth bag",Reunited,5.4,False,Volunteer escorting to help desk.
KMP-2027-00976,2027-08-05 04:32,Ganpat Jadhav,Male,18-40,Maharashtra,Nagpur,Marathi,Gangapur Road Ghat,Nashik Road Center,+91 9498899755,"red sari with gold border, short grey hair",Transferred to hospital,4.5,False,Phone switched off.
KMP-2027-01122,2027-08-19 09:11,Prakash Iyer,Male,71-80,Maharashtra,Ahmednagar,Marathi,Ramkund,CBS Help Center,+91 9099727962,"yellow blouse, hard of hearing",Pending,,False,Got separated in snan crowd.
KMP-2027-01972,2027-09-02 14:50,Rukmini Pawar,Female,61-70,Maharashtra,Jalgaon,Marathi,Nashik Road Railway Station,Nashik Road Center,,"yellow blouse, has a tilak on forehead",Reunited,4.5,False,Cross-checked at adjacent center.
KMP-2027-00609,2027-08-04 07:34,Sai Kale,Male,0-12,Karnataka,Hubballi,Kannada,CBS Bus Stand,Sadhugram Center,,,Reunited,3.7,False,Volunteer escorting to help desk.
KMP-2027-02164,2027-08-18 22:15,,Female,80+,Madhya Pradesh,Gwalior,Hindi,Kalaram Temple,Trimbak Gate Center,+91 8886568866,"cream kurta, tulsi mala around neck",Reunited,3.6,False,Cross-checked at adjacent center.
KMP-2027-02405,2027-09-02 13:43,Sarla Yadav,Female,0-12,Maharashtra,Pune,Marathi,Ahilyadevi Holkar Bridge,Sadhugram Center,,"red sari with gold border, speaks little Hindi",Reunited,1.4,False,Got separated in snan crowd.
KMP-2027-00716,2027-09-11 06:55,Rukmini Kumar,Female,41-60,Maharashtra,Nashik,Marathi,Ahilyadevi Holkar Bridge,Kushavarta Center,+91 9076823163,"orange saree, short grey hair",Reunited,5,False,
KMP-2027-02102,2027-08-19 14:11,Kamla Kulkarni,Female,61-70,Maharashtra,Thane,Marathi,CBS Bus Stand,Sadhugram Center,+91 7348542737,"green saree, has a tilak on forehead",Reunited,4.3,False,"Came by group bus, lost the group."
KMP-2027-00613,2027-09-11 03:31,,Female,41-60,Maharashtra,Ahmednagar,Marathi,Panchavati,Tapovan Center,+91 9975965809,"red sari with gold border, carries a cloth bag",Reunited,1,False,Possible match flagged for review.
KMP-2027-00790,2027-09-04 15:19,Lakshmi Gaikwad,Female,61-70,Madhya Pradesh,Gwalior,Hindi,Kalaram Temple,CBS Help Center,+91 8810805436,"red sari with gold border, wears thick glasses",Reunited,4.9,False,"Came by group bus, lost the group."
KMP-2027-02252,2027-09-11 14:56,Sopan Gaikwad,Male,61-70,Maharashtra,Solapur,Marathi,Kalaram Temple,CBS Help Center,+91 8834324821,"cream kurta, silver anklets",Reunited,5.9,False,Volunteer escorting to help desk.
KMP-2027-00603,2027-09-11 10:37,,Male,71-80,Maharashtra,Nagpur,Marathi,Saptashrungi Base,Trimbak Gate Center,+91 7049599509,"blue checked shirt, walks with a cane",Reunited,0.8,False,Cross-checked at adjacent center.
KMP-2027-00386,2027-09-02 03:45,Namdev Verma,Male,41-60,Maharashtra,Jalgaon,Marathi,Goda Ghat,Trimbak Gate Center,+91 9938275917,"green saree, hard of hearing",Reunited,1.2,False,Possible match flagged for review.
KMP-2027-01934,2027-08-19 09:06,Ganpat Iyer,Male,71-80,Maharashtra,Jalgaon,Marathi,Tapovan,Sadhugram Center,+91 7048177091,,Reunited,4.2,False,"Came by group bus, lost the group."
KMP-2027-00272,2027-09-11 10:32,Namdev Verma,Male,18-40,Tamil Nadu,Chennai,Tamil,Kushavarta Kund,Tapovan Center,+91 9844552869,"white dhoti and kurta, has a tilak on forehead",Reunited,7.9,False,Possible match flagged for review.
KMP-2027-00806,2027-08-10 15:23,Anil Kumar,Male,61-70,Maharashtra,Jalgaon,Marathi,Ramkund,Nashik Road Center,+91 9059849405,,Reunited,5.2,False,"Came by group bus, lost the group."
KMP-2027-02340,2027-09-11 09:25,Kishan Joshi,Male,41-60,Madhya Pradesh,Bhopal,Hindi,Ahilyadevi Holkar Bridge,Tapovan Center,+91 8815211254,"maroon saree, limps on right leg",Reunited,5.4,False,
KMP-2027-01555,2027-09-11 04:48,,Male,80+,Karnataka,Bengaluru,Kannada,Trimbakeshwar Temple,Sadhugram Center,,,Reunited,0.9,False,Cross-checked at adjacent center.
KMP-2027-01124,2027-08-16 16:27,Vitthal Das,Male,71-80,Uttar Pradesh,Lucknow,Hindi,Dudhsagar Falls Road,Trimbak Gate Center,+91 7337213793,"maroon saree, silver anklets",Pending,,False,Possible match flagged for review.
KMP-2027-02366,2027-08-04 03:30,Aarav Yadav,Male,71-80,Maharashtra,Solapur,Marathi,Ahilyadevi Holkar Bridge,CBS Help Center,+91 9081439103,"black shawl, wears thick glasses",Reunited,6.6,False,Cross-checked at adjacent center.
KMP-2027-00638,2027-08-08 07:44,Asha Deshmukh,Female,61-70,Gujarat,Rajkot,Gujarati,Ahilyadevi Holkar Bridge,CBS Help Center,+91 9824514562,"grey sweater, speaks little Hindi",Reunited,8.9,False,"Family frantic, last dip together."
KMP-2027-02046,2027-08-03 06:45,Mohan Das,Male,13-17,Madhya Pradesh,Indore,Hindi,Panchavati,Kushavarta Center,+91 9864931517,,Reunited,6.6,False,"Family frantic, last dip together."
KMP-2027-01183,2027-09-07 13:45,Indira Patil,Female,61-70,Gujarat,Ahmedabad,Gujarati,Sadhugram,Panchavati Center,+91 9926511032,"yellow blouse, speaks little Hindi",Reunited,2.2,False,
KMP-2027-01547,2027-09-11 17:07,Prakash Sawant,Male,0-12,Tamil Nadu,Chennai,Tamil,Kushavarta Kund,Nashik Road Center,+91 7351812070,"orange saree, silver anklets",Reunited,8,False,Announced on PA system.
KMP-2027-01597,2027-08-19 08:27,Anil Deshmukh,Male,41-60,Gujarat,Surat,Gujarati,Kalaram Temple,Sadhugram Center,+91 9440094893,"black shawl, short grey hair",Reunited,8.5,False,"Came by group bus, lost the group."
KMP-2027-02191,2027-07-27 10:25,,Female,41-60,Maharashtra,Nashik,Marathi,Tapovan,Nashik Road Center,+91 9416313079,"black shawl, walks with a cane",Reunited,1.9,False,Announced on PA system.
KMP-2027-01619,2027-09-11 12:14,Shanta Kulkarni,Female,61-70,Maharashtra,Thane,Marathi,Nashik Road Railway Station,Trimbak Gate Center,+91 7015747958,"grey sweater, wears thick glasses",Pending,,False,Possible match flagged for review.
KMP-2027-01687,2027-08-04 11:34,Sunil Chavan,Male,13-17,Maharashtra,Nashik,Marathi,Sadhugram,Sadhugram Center,+91 9467272122,"maroon saree, silver anklets",Reunited,3.1,False,Volunteer escorting to help desk.
KMP-2027-02158,2027-09-02 10:11,Kavita Shinde,Female,41-60,Madhya Pradesh,Indore,Hindi,Dudhsagar Falls Road,Ramkund LF Center,+91 8846357601,"blue checked shirt, tulsi mala around neck",Reunited,5.4,False,Volunteer escorting to help desk.
KMP-2027-01377,2027-07-19 02:56,Eknath Kulkarni,Male,13-17,Maharashtra,Ahmednagar,Marathi,Panchavati,Kushavarta Center,+91 9044526333,"cream kurta, silver anklets",Reunited,4,False,Phone switched off.
KMP-2027-00655,2027-08-19 10:37,Vitthal Patil,Male,71-80,Karnataka,Bengaluru,Kannada,Kalaram Temple,Tapovan Center,+91 9881096142,"orange saree, walks with a cane",Reunited,7.4,False,Phone switched off.
KMP-2027-01552,2027-08-19 08:40,Mangala Sawant,Female,41-60,Madhya Pradesh,Ujjain,Hindi,Goda Ghat,Tapovan Center,+91 7344301414,,Reunited,7.4,False,Phone switched off.
KMP-2027-00220,2027-09-10 18:39,Asha Shinde,Female,18-40,Uttar Pradesh,Kanpur,Hindi,Sadhugram,Nashik Road Center,,"orange saree, tulsi mala around neck",Reunited,4.4,False,Cross-checked at adjacent center.
KMP-2027-01110,2027-09-11 14:18,Kavita More,Female,61-70,Maharashtra,Aurangabad,Marathi,Saptashrungi Base,Sadhugram Center,+91 9931278897,"white dhoti and kurta, walks with a cane",Reunited,9.4,False,Announced on PA system.
KMP-2027-02410,2027-08-04 09:28,Sunita Pawar,Female,61-70,Gujarat,Surat,Gujarati,Sadhugram,Ramkund LF Center,+91 9883578513,"yellow blouse, has a tilak on forehead",Reunited,7.1,False,Announced on PA system.
KMP-2027-01149,2027-07-31 22:10,Gita Iyer,Female,18-40,Maharashtra,Nagpur,Marathi,Trimbakeshwar Temple,CBS Help Center,+91 7065039936,,Reunited,4.1,False,"Came by group bus, lost the group."
KMP-2027-02150,2027-09-15 17:10,Asha Gaikwad,Female,80+,Maharashtra,Pune,Marathi,Kushavarta Kund,Trimbak Gate Center,+91 7020981140,"black shawl, tulsi mala around neck",Reunited,3.2,False,Possible match flagged for review.
KMP-2027-01967,2027-08-04 05:53,Dattatray Sawant,Male,61-70,Karnataka,Bengaluru,Kannada,Ahilyadevi Holkar Bridge,CBS Help Center,+91 7083205578,"green saree, walks with a cane",Reunited,8.8,False,Phone switched off.
KMP-2027-00734,2027-09-08 07:09,Dattatray Reddy,Male,41-60,Maharashtra,Nagpur,Marathi,Ramkund,Trimbak Gate Center,+91 7342434050,"cream kurta, short grey hair",Reunited,7.1,False,Possible match flagged for review.
KMP-2027-02479,2027-07-19 23:45,Savita Sharma,Female,41-60,Maharashtra,Ahmednagar,Marathi,Nashik Road Railway Station,Panchavati Center,+91 9956485621,"grey sweater, walks with a cane",Reunited,9,False,Volunteer escorting to help desk.
KMP-2027-01677,2027-08-04 05:52,Indira Shinde,Female,0-12,Maharashtra,Nagpur,Marathi,Kalaram Temple,Kushavarta Center,+91 9977768764,"yellow blouse, tulsi mala around neck",Reunited,3.7,False,"Came by group bus, lost the group."
KMP-2027-00993,2027-07-20 03:16,Vimal Gaikwad,Female,71-80,Rajasthan,Jaipur,Hindi,Ahilyadevi Holkar Bridge,Panchavati Center,+91 9011352595,"orange saree, short grey hair",Reunited,2.2,False,Got separated in snan crowd.
KMP-2027-01401,2027-09-02 03:48,Sai Deshmukh,Male,18-40,Madhya Pradesh,Indore,Hindi,Tapovan,Sadhugram Center,+91 9079610551,"white dhoti and kurta, wears thick glasses",Reunited,3.5,False,Volunteer escorting to help desk.
KMP-2027-01842,2027-08-19 06:58,Savita Bhosale,Female,41-60,Karnataka,Bengaluru,Kannada,Mukti Dham,Nashik Road Center,+91 7078300363,"cream kurta, wears thick glasses",Pending,,False,
KMP-2027-01500,2027-08-27 11:02,Lakshmi Pawar,Female,61-70,Maharashtra,Ahmednagar,Marathi,Goda Ghat,Trimbak Gate Center,+91 9815465634,"cream kurta, short grey hair",Reunited,8.7,False,Cross-checked at adjacent center.
KMP-2027-00780,2027-08-07 17:38,Sneha Jadhav,Female,71-80,Maharashtra,Pune,Marathi,Kalaram Temple,CBS Help Center,+91 7012912989,"maroon saree, hard of hearing",Reunited,5.6,False,Phone switched off.
KMP-2027-01304,2027-09-02 06:51,Sushila Joshi,Female,61-70,Maharashtra,Thane,Marathi,Trimbakeshwar Temple,Ramkund LF Center,,"blue checked shirt, short grey hair",Reunited,7.2,False,Phone switched off.
KMP-2027-00228,2027-08-16 03:52,,Male,13-17,Maharashtra,Jalgaon,Marathi,Gangapur Road Ghat,Ramkund LF Center,+91 9984519171,"yellow blouse, walks with a cane",Reunited,7.6,False,Phone switched off.
KMP-2027-00975,2027-08-18 23:03,Kishan Reddy,Male,61-70,Maharashtra,Thane,Marathi,Nashik Road Railway Station,Trimbak Gate Center,+91 7069409004,,Reunited,4.9,False,"Came by group bus, lost the group."
KMP-2027-01861,2027-08-04 07:55,Mahesh Verma,Male,71-80,Maharashtra,Thane,Marathi,Mukti Dham,Ramkund LF Center,+91 8882103670,,Reunited,8,False,Got separated in snan crowd.
KMP-2027-00424,2027-08-27 04:44,Shanta Deshmukh,Female,71-80,Maharashtra,Solapur,Marathi,CBS Bus Stand,Tapovan Center,+91 9093252611,"blue checked shirt, silver anklets",Reunited,3.4,False,Got separated in snan crowd.
KMP-2027-00725,2027-08-05 00:04,,Male,0-12,Uttar Pradesh,Kanpur,Hindi,Ahilyadevi Holkar Bridge,Ramkund LF Center,,"blue checked shirt, short grey hair",Reunited,4,False,Got separated in snan crowd.
KMP-2027-01676,2027-08-19 14:21,Savita Patil,Female,61-70,Uttar Pradesh,Varanasi,Hindi,Panchavati,Tapovan Center,+91 9047299225,"blue checked shirt, short grey hair",Reunited,7.1,False,Possible match flagged for review.
KMP-2027-01735,2027-07-22 15:02,Sarla Joshi,Female,41-60,Maharashtra,Ahmednagar,Marathi,Gangapur Road Ghat,Ramkund LF Center,+91 9988675683,"green saree, limps on right leg",Reunited,8.6,False,"Family frantic, last dip together."
KMP-2027-00081,2027-09-11 15:23,Prakash Yadav,Male,18-40,Uttar Pradesh,Prayagraj,Hindi,Panchavati,Trimbak Gate Center,+91 9070148018,"orange saree, hard of hearing",Reunited,,True,Possible match flagged for review.
KMP-2027-02357,2027-09-02 13:23,Sunita Kulkarni,Female,18-40,Maharashtra,Thane,Marathi,Panchavati,Kushavarta Center,+91 8869586207,,Reunited,3.8,False,Volunteer escorting to help desk.
KMP-2027-01000,2027-07-17 06:20,Mangala Verma,Unknown,41-60,Maharashtra,Solapur,Marathi,Sita Gufa,Trimbak Gate Center,+91 9883083716,"black shawl, has a tilak on forehead",Reunited,3.2,False,Announced on PA system.
KMP-2027-01777,2027-08-04 05:35,,Male,71-80,Maharashtra,Solapur,Marathi,Kushavarta Kund,Trimbak Gate Center,+91 8848629877,"grey sweater, speaks little Hindi",Reunited,4,False,Announced on PA system.
KMP-2027-00439,2027-08-04 10:13,Sarla Jadhav,Female,71-80,Maharashtra,Solapur,Marathi,Ramkund,CBS Help Center,+91 7055816627,,Transferred to hospital,2.6,False,Volunteer escorting to help desk.
KMP-2027-01709,2027-09-13 19:11,Kishan Joshi,Male,71-80,Maharashtra,Nagpur,Marathi,Goda Ghat,CBS Help Center,+91 9987309078,"yellow blouse, carries a cloth bag",Reunited,4.5,False,Possible match flagged for review.
KMP-2027-02427,2027-08-04 16:30,Aarav Das,Male,71-80,Gujarat,Rajkot,Gujarati,Mukti Dham,Tapovan Center,+91 9937747675,"grey sweater, short grey hair",Reunited,1.3,False,"Family frantic, last dip together."
KMP-2027-01969,2027-08-11 10:23,Rukmini Yadav,Female,71-80,Madhya Pradesh,Ujjain,Hindi,Saptashrungi Base,Sadhugram Center,+91 7024868600,"grey sweater, silver anklets",Reunited,6.2,False,Cross-checked at adjacent center.
KMP-2027-01225,2027-09-02 10:56,Shanta Verma,Female,61-70,Maharashtra,Pune,Marathi,Gangapur Road Ghat,Trimbak Gate Center,+91 7319259760,,Reunited,5.7,False,Got separated in snan crowd.
KMP-2027-01792,2027-09-02 12:09,Rohan Kulkarni,Male,18-40,Uttar Pradesh,Prayagraj,Hindi,Ahilyadevi Holkar Bridge,Panchavati Center,,"white dhoti and kurta, has a tilak on forehead",Reunited,3.6,False,Cross-checked at adjacent center.
KMP-2027-01132,2027-09-11 10:56,Prakash Das,Male,61-70,Maharashtra,Solapur,Marathi,Dudhsagar Falls Road,Panchavati Center,+91 8875886655,"yellow blouse, walks with a cane",Unresolved,,False,Announced on PA system.
KMP-2027-00684,2027-08-19 13:19,Prakash Iyer,Male,80+,Maharashtra,Nashik,Marathi,Panchavati,Nashik Road Center,+91 9812391223,"blue checked shirt, speaks little Hindi",Reunited,4.8,False,Volunteer escorting to help desk.
KMP-2027-00633,2027-09-11 07:27,Sopan Reddy,Male,80+,Maharashtra,Ahmednagar,Marathi,Sadhugram,CBS Help Center,+91 7048055193,"grey sweater, limps on right leg",Reunited,2.7,False,Possible match flagged for review.
KMP-2027-01975,2027-08-19 00:27,Sunita Chavan,Female,80+,Uttar Pradesh,Kanpur,Hindi,CBS Bus Stand,Panchavati Center,+91 9982742831,,Reunited,8.2,False,
KMP-2027-00011,2027-07-28 12:16,,Female,71-80,Maharashtra,Solapur,Marathi,Mukti Dham,Trimbak Gate Center,+91 9959302816,"green saree, silver anklets",Pending,,True,Possible match flagged for review.
KMP-2027-00032,2027-09-11 14:27,,Female,13-17,Uttar Pradesh,Lucknow,Hindi,Dudhsagar Falls Road,CBS Help Center,,,Reunited,7.9,True,Logged at second center; same person suspected.
KMP-2027-02331,2027-08-19 13:31,Savita Pawar,Female,71-80,Maharashtra,Nagpur,Marathi,Trimbakeshwar Temple,Nashik Road Center,+91 9032980856,"red sari with gold border, short grey hair",Reunited,6.2,False,Cross-checked at adjacent center.
KMP-2027-00972,2027-08-19 12:55,Kamla Bhosale,Female,41-60,Madhya Pradesh,Ujjain,Hindi,Ahilyadevi Holkar Bridge,Kushavarta Center,,"white dhoti and kurta, hard of hearing",Reunited,4.9,False,Cross-checked at adjacent center.
KMP-2027-01968,2027-09-11 04:13,Kavita Yadav,Female,18-40,Maharashtra,Jalgaon,Marathi,CBS Bus Stand,Kushavarta Center,+91 7356710043,,Reunited,3.5,False,Possible match flagged for review.
KMP-2027-01959,2027-08-25 13:53,Mangala Yadav,Female,80+,Maharashtra,Nagpur,Marathi,Goda Ghat,Nashik Road Center,+91 9950043606,"red sari with gold border, tulsi mala around neck",Reunited,4.1,False,"Came by group bus, lost the group."
